               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,             0.01964,           0.0083498,           0.0016642,             0.77745,             0.83333,             0.93018,             0.70644,            0.014163,           0.0042313,            0.023424,           0.0071884,           0.0071884,           0.0071884
                 144,             0.02644,           0.0072003,           0.0020851,              0.7408,             0.83114,             0.76183,              0.5067,             0.01711,            0.004239,            0.028283,           0.0071686,           0.0071686,           0.0071686
                 145,            0.030792,           0.0075987,           0.0085253,             0.75461,             0.82929,             0.77243,             0.54768,            0.014787,            0.004357,            0.027466,           0.0071488,           0.0071488,           0.0071488
                 146,            0.031584,           0.0088569,           0.0040036,             0.77482,             0.83333,             0.83943,             0.59124,              0.0154,           0.0045735,            0.025643,            0.007129,            0.007129,            0.007129
                 147,            0.027506,           0.0089512,           0.0033044,             0.77279,             0.83333,             0.81012,             0.53004,            0.014431,           0.0043256,            0.026232,           0.0071092,           0.0071092,           0.0071092
                 148,            0.030367,           0.0094522,           0.0066591,             0.77344,             0.83333,             0.81012,             0.59711,            0.013431,            0.004389,            0.025829,           0.0070894,           0.0070894,           0.0070894
                 149,            0.027765,           0.0089827,           0.0030123,             0.76661,             0.83333,             0.73213,             0.47033,             0.01474,            0.004385,             0.02643,           0.0070696,           0.0070696,           0.0070696
                 150,            0.026348,           0.0090205,            0.008932,              0.7339,             0.82992,               0.741,             0.55541,            0.012676,           0.0043772,            0.029373,           0.0070498,           0.0070498,           0.0070498
                 151,            0.022532,           0.0077921,           0.0021317,              0.7035,             0.82879,             0.73213,             0.45366,            0.015686,           0.0047516,             0.03015,             0.00703,             0.00703,             0.00703
                 152,            0.024845,           0.0081035,           0.0030387,             0.69792,             0.83304,               0.741,             0.44677,             0.01891,            0.004757,            0.032407,           0.0070102,           0.0070102,           0.0070102
                 153,            0.034506,           0.0078718,           0.0076005,             0.69819,             0.83333,               0.741,             0.47543,            0.014658,           0.0048276,            0.031255,           0.0069904,           0.0069904,           0.0069904
